section_id,class_level,chapter_number,chapter_id,chapter_name,section_number,section_title,start_page,chapter_pdf_url,source_document,source_url,source_lines
ch_real_numbers::1.1,CBSE_10,1,ch_real_numbers,Real Numbers,1.1,Introduction,1,https://ncert.nic.in/textbook/pdf/jemh101.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L0-L35
ch_real_numbers::1.2,CBSE_10,1,ch_real_numbers,Real Numbers,1.2,The Fundamental Theorem of Arithmetic,2,https://ncert.nic.in/textbook/pdf/jemh101.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L35-L183
ch_real_numbers::1.3,CBSE_10,1,ch_real_numbers,Real Numbers,1.3,Revisiting Irrational Numbers,5,https://ncert.nic.in/textbook/pdf/jemh101.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L193-L236
ch_real_numbers::1.4,CBSE_10,1,ch_real_numbers,Real Numbers,1.4,Revisiting Rational Numbers and Their Decimal Expansions,7,https://ncert.nic.in/textbook/pdf/jemh101.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L236-L261
ch_polynomials::2.1,CBSE_10,2,ch_polynomials,Polynomials,2.1,Introduction to Polynomials,16,https://ncert.nic.in/textbook/pdf/jemh102.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L262-L270
ch_polynomials::2.2,CBSE_10,2,ch_polynomials,Polynomials,2.2,Geometrical Meaning of the Zeroes of a Polynomial,19,https://ncert.nic.in/textbook/pdf/jemh102.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L270-L278
ch_polynomials::2.3,CBSE_10,2,ch_polynomials,Polynomials,2.3,Relationship between Zeroes and Coefficients of a Polynomial,24,https://ncert.nic.in/textbook/pdf/jemh102.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L278-L282
ch_polynomials::2.4,CBSE_10,2,ch_polynomials,Polynomials,2.4,Division Algorithm for Polynomials,32,https://ncert.nic.in/textbook/pdf/jemh102.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L282-L284
ch_pair_linear_equations::3.1,CBSE_10,3,ch_pair_linear_equations,Pair of Linear Equations in Two Variables,3.1,Introduction,38,https://ncert.nic.in/textbook/pdf/jemh103.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L284-L285
ch_pair_linear_equations::3.2,CBSE_10,3,ch_pair_linear_equations,Pair of Linear Equations in Two Variables,3.2,Graphical Method of Solution of a Pair of Linear Equations,40,https://ncert.nic.in/textbook/pdf/jemh103.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L285-L286
ch_pair_linear_equations::3.3,CBSE_10,3,ch_pair_linear_equations,Pair of Linear Equations in Two Variables,3.3,Algebraic Methods of Solving a Pair of Linear Equations,47,https://ncert.nic.in/textbook/pdf/jemh103.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L286-L286
ch_quadratic_equations::4.1,CBSE_10,4,ch_quadratic_equations,Quadratic Equations,4.1,Introduction,38,https://ncert.nic.in/textbook/pdf/jemh104.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L285-L286
ch_quadratic_equations::4.2,CBSE_10,4,ch_quadratic_equations,Quadratic Equations,4.2,Quadratic Equations,39,https://ncert.nic.in/textbook/pdf/jemh104.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L286-L287
ch_quadratic_equations::4.3,CBSE_10,4,ch_quadratic_equations,Quadratic Equations,4.3,Solution of a Quadratic Equation by Factorisation,42,https://ncert.nic.in/textbook/pdf/jemh104.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L287-L288
ch_quadratic_equations::4.4,CBSE_10,4,ch_quadratic_equations,Quadratic Equations,4.4,Nature of Roots,44,https://ncert.nic.in/textbook/pdf/jemh104.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L288-L289
ch_arithmetic_progressions::5.1,CBSE_10,5,ch_arithmetic_progressions,Arithmetic Progressions,5.1,Introduction,49,https://ncert.nic.in/textbook/pdf/jemh105.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L290-L292
ch_arithmetic_progressions::5.2,CBSE_10,5,ch_arithmetic_progressions,Arithmetic Progressions,5.2,Arithmetic Progressions,51,https://ncert.nic.in/textbook/pdf/jemh105.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L292-L293
ch_arithmetic_progressions::5.3,CBSE_10,5,ch_arithmetic_progressions,Arithmetic Progressions,5.3,nth Term of an AP,56,https://ncert.nic.in/textbook/pdf/jemh105.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L293-L294
ch_arithmetic_progressions::5.4,CBSE_10,5,ch_arithmetic_progressions,Arithmetic Progressions,5.4,Sum of First n Terms of an AP,63,https://ncert.nic.in/textbook/pdf/jemh105.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L294-L295
ch_triangles::6.1,CBSE_10,6,ch_triangles,Triangles,6.1,Introduction,73,https://ncert.nic.in/textbook/pdf/jemh106.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L296-L298
ch_triangles::6.2,CBSE_10,6,ch_triangles,Triangles,6.2,Similar Figures,74,https://ncert.nic.in/textbook/pdf/jemh106.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L298-L299
ch_triangles::6.3,CBSE_10,6,ch_triangles,Triangles,6.3,Similarity of Triangles,79,https://ncert.nic.in/textbook/pdf/jemh106.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L299-L300
ch_triangles::6.4,CBSE_10,6,ch_triangles,Triangles,6.4,Criteria for Similarity of Triangles,85,https://ncert.nic.in/textbook/pdf/jemh106.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L300-L301
ch_coordinate_geometry::7.1,CBSE_10,7,ch_coordinate_geometry,Coordinate Geometry,7.1,Introduction,99,https://ncert.nic.in/textbook/pdf/jemh107.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L302-L304
ch_coordinate_geometry::7.2,CBSE_10,7,ch_coordinate_geometry,Coordinate Geometry,7.2,Distance Formula,100,https://ncert.nic.in/textbook/pdf/jemh107.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L304-L305
ch_coordinate_geometry::7.3,CBSE_10,7,ch_coordinate_geometry,Coordinate Geometry,7.3,Section Formula,106,https://ncert.nic.in/textbook/pdf/jemh107.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L305-L306
ch_trigonometry::8.1,CBSE_10,8,ch_trigonometry,Introduction to Trigonometry,8.1,Introduction,113,https://ncert.nic.in/textbook/pdf/jemh108.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L307-L309
ch_trigonometry::8.2,CBSE_10,8,ch_trigonometry,Introduction to Trigonometry,8.2,Trigonometric Ratios,114,https://ncert.nic.in/textbook/pdf/jemh108.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L309-L310
