chunk_id,chunk_type,source_id,chapter_id,chapter_name,concept_id,concept_name,difficulty,title,content,search_text,doc_id
theory::c_fundamental_theorem_arithmetic,theory,c_fundamental_theorem_arithmetic,ch_real_numbers,Real Numbers,c_fundamental_theorem_arithmetic,Fundamental Theorem of Arithmetic,medium,Theory: Fundamental Theorem of Arithmetic,"Concept: Fundamental Theorem of Arithmetic. Description: Use unique prime factorization to reason about divisibility, HCF, LCM, and denominator structure.. Learning objective: Apply prime factorization as the central theorem for Class X real-number reasoning.. Tags: prime_factorization, divisibility, theorem","Theory: Fundamental Theorem of Arithmetic Real Numbers Fundamental Theorem of Arithmetic medium Concept: Fundamental Theorem of Arithmetic. Description: Use unique prime factorization to reason about divisibility, HCF, LCM, and denominator structure.. Learning objective: Apply prime factorization as the central theorem for Class X real-number reasoning.. Tags: prime_factorization, divisibility, theorem",theory::c_fundamental_theorem_arithmetic
theory::c_euclid_division_lemma,theory,c_euclid_division_lemma,ch_real_numbers,Real Numbers,c_euclid_division_lemma,Euclid Division Lemma,easy,Theory: Euclid Division Lemma,"Concept: Euclid Division Lemma. Description: Represent an integer as a = bq + r and use that decomposition to support HCF reasoning.. Learning objective: Use Euclid-style quotient and remainder decomposition as a bridge into HCF computations.. Tags: division, algorithm, review","Theory: Euclid Division Lemma Real Numbers Euclid Division Lemma easy Concept: Euclid Division Lemma. Description: Represent an integer as a = bq + r and use that decomposition to support HCF reasoning.. Learning objective: Use Euclid-style quotient and remainder decomposition as a bridge into HCF computations.. Tags: division, algorithm, review",theory::c_euclid_division_lemma
theory::c_hcf_lcm,theory,c_hcf_lcm,ch_real_numbers,Real Numbers,c_hcf_lcm,HCF and LCM,medium,Theory: HCF and LCM,"Concept: HCF and LCM. Description: Connect prime factorization and algorithmic reasoning to highest common factor and least common multiple.. Learning objective: Compute HCF and LCM using theorem-based number reasoning.. Tags: hcf, lcm, prime_factorization","Theory: HCF and LCM Real Numbers HCF and LCM medium Concept: HCF and LCM. Description: Connect prime factorization and algorithmic reasoning to highest common factor and least common multiple.. Learning objective: Compute HCF and LCM using theorem-based number reasoning.. Tags: hcf, lcm, prime_factorization",theory::c_hcf_lcm
theory::c_irrational_numbers,theory,c_irrational_numbers,ch_real_numbers,Real Numbers,c_irrational_numbers,Irrational Numbers,hard,Theory: Irrational Numbers,"Concept: Irrational Numbers. Description: Use contradiction-based arguments to show that selected numbers are irrational.. Learning objective: Distinguish rational and irrational numbers with proof-oriented reasoning.. Tags: irrationality, proof, number_system","Theory: Irrational Numbers Real Numbers Irrational Numbers hard Concept: Irrational Numbers. Description: Use contradiction-based arguments to show that selected numbers are irrational.. Learning objective: Distinguish rational and irrational numbers with proof-oriented reasoning.. Tags: irrationality, proof, number_system",theory::c_irrational_numbers
theory::c_decimal_expansions,theory,c_decimal_expansions,ch_real_numbers,Real Numbers,c_decimal_expansions,Decimal Expansions of Rational Numbers,medium,Theory: Decimal Expansions of Rational Numbers,"Concept: Decimal Expansions of Rational Numbers. Description: Classify rational numbers by terminating or recurring decimal expansion through denominator factorization.. Learning objective: Explain decimal behavior of rational numbers from prime factors of the denominator.. Tags: decimals, rational_numbers, classification","Theory: Decimal Expansions of Rational Numbers Real Numbers Decimal Expansions of Rational Numbers medium Concept: Decimal Expansions of Rational Numbers. Description: Classify rational numbers by terminating or recurring decimal expansion through denominator factorization.. Learning objective: Explain decimal behavior of rational numbers from prime factors of the denominator.. Tags: decimals, rational_numbers, classification",theory::c_decimal_expansions
theory::c_polynomial_degree_terms,theory,c_polynomial_degree_terms,ch_polynomials,Polynomials,c_polynomial_degree_terms,Polynomial Degree and Terms,easy,Theory: Polynomial Degree and Terms,"Concept: Polynomial Degree and Terms. Description: Review polynomial vocabulary including terms, coefficients, and degree as scaffolding for root analysis.. Learning objective: Read polynomial structure before applying Class X zero-based reasoning.. Tags: polynomial_structure, review","Theory: Polynomial Degree and Terms Polynomials Polynomial Degree and Terms easy Concept: Polynomial Degree and Terms. Description: Review polynomial vocabulary including terms, coefficients, and degree as scaffolding for root analysis.. Learning objective: Read polynomial structure before applying Class X zero-based reasoning.. Tags: polynomial_structure, review",theory::c_polynomial_degree_terms
theory::c_zeroes_of_polynomial,theory,c_zeroes_of_polynomial,ch_polynomials,Polynomials,c_zeroes_of_polynomial,Zeroes of a Polynomial,medium,Theory: Zeroes of a Polynomial,"Concept: Zeroes of a Polynomial. Description: Find and interpret the zeroes of a polynomial in line with the official Class X syllabus.. Learning objective: Compute and reason about polynomial zeroes from algebraic forms.. Tags: zeroes, roots, algebra","Theory: Zeroes of a Polynomial Polynomials Zeroes of a Polynomial medium Concept: Zeroes of a Polynomial. Description: Find and interpret the zeroes of a polynomial in line with the official Class X syllabus.. Learning objective: Compute and reason about polynomial zeroes from algebraic forms.. Tags: zeroes, roots, algebra",theory::c_zeroes_of_polynomial
theory::c_zero_coeff_relationship,theory,c_zero_coeff_relationship,ch_polynomials,Polynomials,c_zero_coeff_relationship,Relationship Between Zeroes and Coefficients,medium,Theory: Relationship Between Zeroes and Coefficients,"Concept: Relationship Between Zeroes and Coefficients. Description: Use the sum and product of zeroes to connect quadratic roots with coefficients.. Learning objective: Construct or analyze quadratic polynomials using root-coefficient relationships.. Tags: quadratic, coefficients, roots","Theory: Relationship Between Zeroes and Coefficients Polynomials Relationship Between Zeroes and Coefficients medium Concept: Relationship Between Zeroes and Coefficients. Description: Use the sum and product of zeroes to connect quadratic roots with coefficients.. Learning objective: Construct or analyze quadratic polynomials using root-coefficient relationships.. Tags: quadratic, coefficients, roots",theory::c_zero_coeff_relationship
theory::c_factorisation_remainder,theory,c_factorisation_remainder,ch_polynomials,Polynomials,c_factorisation_remainder,Factorisation and Remainder Theorem,hard,Theory: Factorisation and Remainder Theorem,"Concept: Factorisation and Remainder Theorem. Description: Use polynomial evaluation and factor checks as a supporting skill for zero-based reasoning.. Learning objective: Test factors efficiently while linking factorization to roots.. Tags: factorisation, evaluation, bridge_skill","Theory: Factorisation and Remainder Theorem Polynomials Factorisation and Remainder Theorem hard Concept: Factorisation and Remainder Theorem. Description: Use polynomial evaluation and factor checks as a supporting skill for zero-based reasoning.. Learning objective: Test factors efficiently while linking factorization to roots.. Tags: factorisation, evaluation, bridge_skill",theory::c_factorisation_remainder
theory::c_pair_linear_equations_graphical,theory,c_pair_linear_equations_graphical,ch_pair_linear_equations,Pair of Linear Equations in Two Variables,c_pair_linear_equations_graphical,Graphical Solution of Pair of Linear Equations,easy,Theory: Graphical Solution of Pair of Linear Equations,"Concept: Graphical Solution of Pair of Linear Equations. Description: Represent two linear equations on the Cartesian plane and interpret their point of intersection.. Learning objective: Use graphs to solve linear systems and interpret geometric meaning.. Tags: graphs, intersection, linear_systems","Theory: Graphical Solution of Pair of Linear Equations Pair of Linear Equations in Two Variables Graphical Solution of Pair of Linear Equations easy Concept: Graphical Solution of Pair of Linear Equations. Description: Represent two linear equations on the Cartesian plane and interpret their point of intersection.. Learning objective: Use graphs to solve linear systems and interpret geometric meaning.. Tags: graphs, intersection, linear_systems",theory::c_pair_linear_equations_graphical
