question_id,final_answer,worked_solution,explanation_style
q_cg_001,10,"Using the distance formula, distance = sqrt((8 - 2)^2 + (11 - 3)^2) = sqrt(6^2 + 8^2) = sqrt(36 + 64) = sqrt(100) = 10.",stepwise
q_cg_002,"(3, 4)","If P divides A(x1, y1) and B(x2, y2) in the ratio m:n, then P = ((mx2 + nx1)/(m + n), (my2 + ny1)/(m + n)). With m = 1, n = 2, A = (1, 2), and B = (7, 8), P = ((1 x 7 + 2 x 1)/3, (1 x 8 + 2 x 2)/3) = (9/3, 12/3) = (3, 4).",stepwise
q_cg_003,6 square units,"Using the coordinate area formula, area = 1/2 |x1(y2 - y3) + x2(y3 - y1) + x3(y1 - y2)|. Substituting the points gives area = 1/2 |0(0 - 3) + 4(3 - 0) + 1(0 - 0)| = 1/2 x 12 = 6 square units.",stepwise
q_cg_004,"Yes, the points are collinear.","Use the area test. Area = 1/2 |1(3 - 5) + 2(5 - 1) + 3(1 - 3)| = 1/2 |-2 + 8 - 6| = 0. Since the area is zero, the points are collinear.",stepwise
q_poly_001,"Degree = 4, leading coefficient = 5","The highest power of x is 4, so the degree is 4. The coefficient of x^4 is 5, so the leading coefficient is 5.",stepwise
q_poly_002,2 and 3,Factor the quadratic: x^2 - 5x + 6 = (x - 2)(x - 3). Setting each factor to zero gives x = 2 and x = 3.,stepwise
q_poly_003,x^2 + x - 6,"If the zeroes are alpha = 2 and beta = -3, a monic quadratic is x^2 - (alpha + beta)x + alpha beta. Here alpha + beta = -1 and alpha beta = -6, so the polynomial is x^2 + x - 6.",stepwise
q_poly_004,Yes; p(x) = (x - 2)(x - 3)(x + 1),"By the factor theorem, x - 2 is a factor if p(2) = 0. Compute p(2) = 8 - 16 + 2 + 6 = 0, so x - 2 is a factor. Dividing p(x) by x - 2 gives x^2 - 2x - 3, which factors as (x - 3)(x + 1). Therefore p(x) = (x - 2)(x - 3)(x + 1).",stepwise
q_poly_005,16,"By the remainder theorem, the remainder on dividing by x - 3 is p(3). Compute p(3) = 27 - 18 + 12 - 5 = 16. Therefore the remainder is 16.",stepwise
q_poly_006,x^2 - 7x + 10,"For a monic quadratic with zeroes alpha and beta, the polynomial is x^2 - (alpha + beta)x + alpha beta. With sum 7 and product 10, we get x^2 - 7x + 10.",stepwise
q_rn_001,"q = 10, r = 35","Divide 455 by 42. Since 42 x 10 = 420 and 455 - 420 = 35, we get 455 = 42 x 10 + 35. The remainder 35 is smaller than 42, so q = 10 and r = 35.",stepwise
