question_id,chapter_id,chapter_name,concept_id,concept_name,difficulty,question_type,prompt,answer,tags,estimated_time_sec,source
q_tb_circle_perimeter_area_applications_001,ch_areas_related_to_circles,Areas Related to Circles,c_circle_perimeter_area_applications,Perimeter and Area Applications on Circle Figures,hard,application,"Find the perimeter of a semicircular figure of radius 14 cm, including the diameter. Use pi = 22/7.",72 cm,areas_related_to_circles|perimeter|textbook_bootstrap,150,textbook_bootstrap
q_tb_circle_perimeter_area_applications_002,ch_areas_related_to_circles,Areas Related to Circles,c_circle_perimeter_area_applications,Perimeter and Area Applications on Circle Figures,hard,application,A quadrant has radius 14 cm. Find its perimeter using pi = 22/7.,50 cm,areas_related_to_circles|perimeter|quadrant|textbook_bootstrap,150,textbook_bootstrap
q_tb_sectors_segments_002,ch_areas_related_to_circles,Areas Related to Circles,c_sectors_segments,Sectors and Segments of a Circle,hard,numerical,A sector of a circle has radius 14 cm and angle 60 degrees. Find its arc length using pi = 22/7.,44/3 cm,areas_related_to_circles|arc_length|textbook_bootstrap,150,textbook_bootstrap
q_tb_sectors_segments_001,ch_areas_related_to_circles,Areas Related to Circles,c_sectors_segments,Sectors and Segments of a Circle,medium,numerical,Find the area of a sector of radius 7 cm and central angle 90 degrees.,49pi/4 square cm,areas_related_to_circles|sector_area|textbook_bootstrap,120,textbook_bootstrap
q_tb_ap_applications_002,ch_arithmetic_progressions,Arithmetic Progressions,c_ap_applications,Applications of Arithmetic Progressions,hard,application,"A child saves Rs 5 on the first day, Rs 8 on the second day, Rs 11 on the third day, and continues in the same pattern. How much will the child save in 20 days?",670 rupees,arithmetic_progression|application|daily_life|textbook_bootstrap,180,textbook_bootstrap
q_tb_ap_applications_001,ch_arithmetic_progressions,Arithmetic Progressions,c_ap_applications,Applications of Arithmetic Progressions,medium,application,"In an auditorium, the first row has 20 seats, the second row has 22 seats, and each next row has 2 more seats than the previous row. How many seats are there in the first 15 rows?",510,arithmetic_progression|application|textbook_bootstrap,180,textbook_bootstrap
q_tb_ap_nth_term_001,ch_arithmetic_progressions,Arithmetic Progressions,c_ap_nth_term,Nth Term of an Arithmetic Progression,easy,numerical,"Find the 15th term of the arithmetic progression 7, 11, 15, 19, ...",63,arithmetic_progression|nth_term|textbook_bootstrap,90,textbook_bootstrap
q_tb_ap_nth_term_002,ch_arithmetic_progressions,Arithmetic Progressions,c_ap_nth_term,Nth Term of an Arithmetic Progression,medium,numerical,"Which term of the A.P. 5, 9, 13, 17, ... is 101?",25th term,arithmetic_progression|nth_term|term_identification|textbook_bootstrap,120,textbook_bootstrap
q_tb_ap_sum_001,ch_arithmetic_progressions,Arithmetic Progressions,c_ap_sum,Sum of First n Terms of an Arithmetic Progression,medium,numerical,"Find the sum of the first 20 terms of the arithmetic progression 3, 7, 11, 15, ...",820,arithmetic_progression|sum|textbook_bootstrap,150,textbook_bootstrap
q_tb_ap_sum_002,ch_arithmetic_progressions,Arithmetic Progressions,c_ap_sum,Sum of First n Terms of an Arithmetic Progression,medium,numerical,Find the sum of the first 30 multiples of 3.,1395,arithmetic_progression|sum|multiples|textbook_bootstrap,150,textbook_bootstrap
q_tb_tangent_radius_perpendicular_001,ch_circles,Circles,c_tangent_radius_perpendicular,Tangent Perpendicular to Radius,easy,reasoning,A tangent PT touches a circle with centre O at P. What is the measure of angle OPT?,90 degrees,circles|tangent|radius|textbook_bootstrap,60,textbook_bootstrap
q_tb_tangent_radius_perpendicular_002,ch_circles,Circles,c_tangent_radius_perpendicular,Tangent Perpendicular to Radius,medium,proof,Explain why the radius drawn to the point of contact of a tangent is perpendicular to the tangent.,The radius to the point of contact is perpendicular to the tangent.,circles|tangent|proof|textbook_bootstrap,150,textbook_bootstrap
q_tb_tangents_from_external_point_001,ch_circles,Circles,c_tangents_from_external_point,Tangents from an External Point,medium,numerical,"From an external point P, two tangents PA and PB are drawn to a circle. If PA = 12 cm, find PB.",12 cm,circles|equal_tangents|textbook_bootstrap,60,textbook_bootstrap
q_tb_tangents_from_external_point_002,ch_circles,Circles,c_tangents_from_external_point,Tangents from an External Point,medium,geometry,"From a point P outside a circle, tangents PA and PB are drawn. If APB = 70 degrees, find angle AOB, where O is the centre.",110 degrees,circles|equal_tangents|angles|textbook_bootstrap,180,textbook_bootstrap
q_cg_004,ch_coordinate_geometry,Coordinate Geometry,c_area_of_triangle,Area of a Triangle in Coordinates,hard,reasoning,"Check whether the points (1, 1), (2, 3), and (3, 5) are collinear.","Yes, the points are collinear.",coordinate_geometry|collinearity|area_test,150,synthetic_curated
q_cg_003,ch_coordinate_geometry,Coordinate Geometry,c_area_of_triangle,Area of a Triangle in Coordinates,medium,numerical,"Find the area of the triangle with vertices (0, 0), (4, 0), and (1, 3).",6 square units,coordinate_geometry|triangle_area,150,synthetic_curated
q_tb_area_of_triangle_001,ch_coordinate_geometry,Coordinate Geometry,c_area_of_triangle,Area of a Triangle in Coordinates,medium,numerical,"Find the area of the triangle with vertices (1, 0), (7, 0), and (3, 5).",15 square units,coordinate_geometry|triangle_area|textbook_bootstrap,150,textbook_bootstrap
q_cg_001,ch_coordinate_geometry,Coordinate Geometry,c_distance_formula,Distance Formula,easy,numerical,"Find the distance between the points (2, 3) and (8, 11).",10,coordinate_geometry|distance_formula,90,synthetic_curated
q_tb_distance_formula_001,ch_coordinate_geometry,Coordinate Geometry,c_distance_formula,Distance Formula,easy,numerical,"Find the distance between (-2, 1) and (3, 13).",13,coordinate_geometry|distance_formula|textbook_bootstrap,90,textbook_bootstrap
q_cg_002,ch_coordinate_geometry,Coordinate Geometry,c_section_formula,Section Formula,medium,numerical,"Find the point that divides the line segment joining (1, 2) and (7, 8) internally in the ratio 1:2.","(3, 4)",coordinate_geometry|section_formula|ratio,180,synthetic_curated
q_tb_section_formula_001,ch_coordinate_geometry,Coordinate Geometry,c_section_formula,Section Formula,medium,numerical,"Find the point dividing the line segment joining (1, 2) and (10, 8) internally in the ratio 1:2.","(4, 4)",coordinate_geometry|section_formula|ratio|textbook_bootstrap,150,textbook_bootstrap
q_tb_pair_linear_equations_algebraic_002,ch_pair_linear_equations,Pair of Linear Equations in Two Variables,c_pair_linear_equations_algebraic,Algebraic Methods for Pair of Linear Equations,hard,application,"A test has 20 questions. A correct answer gives 3 marks and a wrong answer deducts 1 mark. If a student attempts all questions and scores 44 marks, how many answers were correct and how many were wrong?",16 correct and 4 wrong,linear_equations|word_problem|algebraic_method|textbook_bootstrap,210,textbook_bootstrap
q_tb_pair_linear_equations_algebraic_001,ch_pair_linear_equations,Pair of Linear Equations in Two Variables,c_pair_linear_equations_algebraic,Algebraic Methods for Pair of Linear Equations,medium,algebraic,Solve the pair of equations 2x + y = 11 and x - y = 1 by the elimination method.,"x = 4, y = 3",linear_equations|elimination|textbook_bootstrap,150,textbook_bootstrap
q_tb_pair_linear_equations_consistency_001,ch_pair_linear_equations,Pair of Linear Equations in Two Variables,c_pair_linear_equations_consistency,Consistency and Number of Solutions,medium,reasoning,Determine the number of solutions of the pair 2x + 4y - 6 = 0 and x + 2y - 3 = 0.,Infinitely many solutions,linear_equations|consistency|textbook_bootstrap,150,textbook_bootstrap
q_tb_pair_linear_equations_consistency_002,ch_pair_linear_equations,Pair of Linear Equations in Two Variables,c_pair_linear_equations_consistency,Consistency and Number of Solutions,medium,reasoning,Classify the pair 3x + 2y = 8 and 6x + 4y = 9 as consistent or inconsistent. Also state the number of solutions.,Inconsistent; no solution,linear_equations|consistency|parallel_lines|textbook_bootstrap,150,textbook_bootstrap
q_tb_pair_linear_equations_graphical_001,ch_pair_linear_equations,Pair of Linear Equations in Two Variables,c_pair_linear_equations_graphical,Graphical Solution of Pair of Linear Equations,easy,graphical,Solve the pair of linear equations x + y = 5 and x - y = 1 graphically. State the point of intersection.,"(3, 2)",linear_equations|graphical_method|textbook_bootstrap,180,textbook_bootstrap
q_tb_pair_linear_equations_graphical_002,ch_pair_linear_equations,Pair of Linear Equations in Two Variables,c_pair_linear_equations_graphical,Graphical Solution of Pair of Linear Equations,medium,graphical,"For the equations 2x + y = 7 and x - y = 2, find the solution and explain what the intersection point represents on the graph.","(3, 1); it is the common point satisfying both equations.",linear_equations|graphical_method|intersection_meaning|textbook_bootstrap,180,textbook_bootstrap
q_poly_005,ch_polynomials,Polynomials,c_factorisation_remainder,Factorisation and Remainder Theorem,hard,numerical,Find the remainder when p(x) = x^3 - 2x^2 + 4x - 5 is divided by x - 3.,16,polynomials|remainder_theorem|evaluation,120,synthetic_curated
