topic_id,topic_name,class_level,syllabus_session,unit_id,unit_name,unit_marks,chapter_id,chapter_name,periods,official_text,source_lines,source_document,source_url,source_notes
topic_arithmetic_progressions,Arithmetic Progressions,CBSE_10,2024-25,unit_algebra,Algebra,20,ch_arithmetic_progressions,Arithmetic Progressions,10,"Nth term, sum of first n terms, and daily-life applications.",L208-L210,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf,
topic_pair_linear_equations,Pair of Linear Equations in Two Variables,CBSE_10,2024-25,unit_algebra,Algebra,20,ch_pair_linear_equations,Pair of Linear Equations in Two Variables,15,"Graphical solution, consistency or inconsistency, substitution, elimination, and simple situational problems.",L197-L201,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf,
topic_polynomials,Polynomials,CBSE_10,2024-25,unit_algebra,Algebra,20,ch_polynomials,Polynomials,8,Zeros of a polynomial and relationship between zeroes and coefficients of quadratic polynomials.,L193-L196,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf,
topic_quadratic_equations,Quadratic Equations,CBSE_10,2024-25,unit_algebra,Algebra,20,ch_quadratic_equations,Quadratic Equations,15,"Standard form, factorization, quadratic formula, discriminant, and situational problems.",L202-L207,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf,
topic_coordinate_geometry,Coordinate Geometry,CBSE_10,2024-25,unit_coordinate_geometry,Coordinate Geometry,6,ch_coordinate_geometry,Coordinate Geometry,15,"Review of graphs of linear equations, distance formula, and internal section formula.",L211-L214,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf,
topic_circles,Circles,CBSE_10,2024-25,unit_geometry,Geometry,15,ch_circles,Circles,10,"Tangent at point of contact, perpendicular radius theorem, and equal tangents from an external point.",L228-L232,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf,
topic_triangles,Triangles,CBSE_10,2024-25,unit_geometry,Geometry,15,ch_triangles,Triangles,15,"Similar triangles, Basic Proportionality Theorem and converse, and similarity criteria.",L215-L227,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf,
topic_areas_related_circles,Areas Related to Circles,CBSE_10,2024-25,unit_mensuration,Mensuration,10,ch_areas_related_to_circles,Areas Related to Circles,12,"Area of sectors and segments, plus perimeter and area problems on related plane figures.",L244-L248,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf,
topic_surface_areas_volumes,Surface Areas and Volumes,CBSE_10,2024-25,unit_mensuration,Mensuration,10,ch_surface_areas_volumes,Surface Areas and Volumes,12,Surface area and volume of combinations of two standard solids.,L249-L251,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf,
topic_real_numbers,Real Numbers,CBSE_10,2024-25,unit_number_systems,Number Systems,6,ch_real_numbers,Real Numbers,15,"Fundamental Theorem of Arithmetic, irrationality, and decimal expansions of rational numbers.",L189-L193,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf,Chapter scope from the official CBSE Class X syllabus.
topic_probability,Probability,CBSE_10,2024-25,unit_statistics_probability,Statistics and Probability,11,ch_probability,Probability,10,Classical definition of probability and simple event problems.,L255-L257,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf,
topic_statistics,Statistics,CBSE_10,2024-25,unit_statistics_probability,Statistics and Probability,11,ch_statistics,Statistics,18,"Mean, median and mode of grouped data.",L252-L254,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf,
topic_heights_distances,Heights and Distances,CBSE_10,2024-25,unit_trigonometry,Trigonometry,12,ch_trigonometry,Introduction to Trigonometry,10,Angles of elevation and depression with simple right-triangle applications.,L241-L243,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf,
topic_intro_trigonometry,Introduction to Trigonometry,CBSE_10,2024-25,unit_trigonometry,Trigonometry,12,ch_trigonometry,Introduction to Trigonometry,10,"Acute-angle trigonometric ratios, standard values, and relationships between ratios.",L233-L237,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf,
