content_id,class_level,chapter_id,chapter_name,concept_id,concept_name,title,content_type,summary_text,official_syllabus_text,textbook_sections,textbook_section_ids,source_document,source_url
curriculum_note::c_circle_perimeter_area_applications,CBSE_10,ch_areas_related_to_circles,Areas Related to Circles,c_circle_perimeter_area_applications,Perimeter and Area Applications on Circle Figures,Theory Note: Perimeter and Area Applications on Circle Figures,syllabus_textbook_grounded,"Perimeter and Area Applications on Circle Figures belongs to the NCERT Class X chapter Areas Related to Circles. The official syllabus expects students to handle combined area-perimeter reasoning in circle-based figures. In the NCERT textbook, this aligns with Areas of Sector and Segment of a Circle. Area of sectors and segments, plus perimeter and area problems on related plane figures. Core concept description: Solve perimeter or circumference and area problems on figures built from arcs, sectors, and segments.","Area of sectors and segments, plus perimeter and area problems on related plane figures.",Areas of Sector and Segment of a Circle,ch_areas_related_to_circles::11.1,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf
curriculum_note::c_sectors_segments,CBSE_10,ch_areas_related_to_circles,Areas Related to Circles,c_sectors_segments,Sectors and Segments of a Circle,Theory Note: Sectors and Segments of a Circle,syllabus_textbook_grounded,"Sectors and Segments of a Circle belongs to the NCERT Class X chapter Areas Related to Circles. The official syllabus expects students to calculate sector and segment areas in circle-based plane figures. In the NCERT textbook, this aligns with Areas of Sector and Segment of a Circle. Area of sectors and segments, plus perimeter and area problems on related plane figures. Core concept description: Compute areas of sectors and segments, with Class X restrictions on common central angles for segment problems.","Area of sectors and segments, plus perimeter and area problems on related plane figures.",Areas of Sector and Segment of a Circle,ch_areas_related_to_circles::11.1,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf
curriculum_note::c_ap_applications,CBSE_10,ch_arithmetic_progressions,Arithmetic Progressions,c_ap_applications,Applications of Arithmetic Progressions,Theory Note: Applications of Arithmetic Progressions,syllabus_textbook_grounded,"Applications of Arithmetic Progressions belongs to the NCERT Class X chapter Arithmetic Progressions. The official syllabus expects students to translate contextual patterns into a.p. terms or sums. In the NCERT textbook, this aligns with nth Term of an AP, Sum of First n Terms of an AP. Nth term, sum of first n terms, and daily-life applications. Core concept description: Model and solve daily-life problems whose structure follows an arithmetic progression.","Nth term, sum of first n terms, and daily-life applications.",nth Term of an AP|Sum of First n Terms of an AP,ch_arithmetic_progressions::5.3|ch_arithmetic_progressions::5.4,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf
curriculum_note::c_ap_nth_term,CBSE_10,ch_arithmetic_progressions,Arithmetic Progressions,c_ap_nth_term,Nth Term of an Arithmetic Progression,Theory Note: Nth Term of an Arithmetic Progression,syllabus_textbook_grounded,"Nth Term of an Arithmetic Progression belongs to the NCERT Class X chapter Arithmetic Progressions. The official syllabus expects students to find any requested term in an arithmetic progression. In the NCERT textbook, this aligns with nth Term of an AP. Nth term, sum of first n terms, and daily-life applications. Core concept description: Use the common difference and first term to derive or compute the nth term of an A.P.","Nth term, sum of first n terms, and daily-life applications.",nth Term of an AP,ch_arithmetic_progressions::5.3,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf
curriculum_note::c_ap_sum,CBSE_10,ch_arithmetic_progressions,Arithmetic Progressions,c_ap_sum,Sum of First n Terms of an Arithmetic Progression,Theory Note: Sum of First n Terms of an Arithmetic Progression,syllabus_textbook_grounded,"Sum of First n Terms of an Arithmetic Progression belongs to the NCERT Class X chapter Arithmetic Progressions. The official syllabus expects students to compute cumulative totals in an arithmetic progression. In the NCERT textbook, this aligns with Sum of First n Terms of an AP. Nth term, sum of first n terms, and daily-life applications. Core concept description: Derive and use the sum formula for the first n terms of an arithmetic progression.","Nth term, sum of first n terms, and daily-life applications.",Sum of First n Terms of an AP,ch_arithmetic_progressions::5.4,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf
curriculum_note::c_tangent_radius_perpendicular,CBSE_10,ch_circles,Circles,c_tangent_radius_perpendicular,Tangent Perpendicular to Radius,Theory Note: Tangent Perpendicular to Radius,syllabus_textbook_grounded,"Tangent Perpendicular to Radius belongs to the NCERT Class X chapter Circles. The official syllabus expects students to apply the tangent-radius perpendicular theorem in proofs. In the NCERT textbook, this aligns with Tangent to a Circle. Tangent at point of contact, perpendicular radius theorem, and equal tangents from an external point. Core concept description: Use the theorem that the tangent at a point of a circle is perpendicular to the radius through that point.","Tangent at point of contact, perpendicular radius theorem, and equal tangents from an external point.",Tangent to a Circle,ch_circles::10.2,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf
curriculum_note::c_tangents_from_external_point,CBSE_10,ch_circles,Circles,c_tangents_from_external_point,Tangents from an External Point,Theory Note: Tangents from an External Point,syllabus_textbook_grounded,"Tangents from an External Point belongs to the NCERT Class X chapter Circles. The official syllabus expects students to solve equal-tangent problems from an external point. In the NCERT textbook, this aligns with Number of Tangents from a Point on a Circle. Tangent at point of contact, perpendicular radius theorem, and equal tangents from an external point. Core concept description: Use the theorem that tangents drawn from an external point to a circle are equal in length.","Tangent at point of contact, perpendicular radius theorem, and equal tangents from an external point.",Number of Tangents from a Point on a Circle,ch_circles::10.3,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf
curriculum_note::c_area_of_triangle,CBSE_10,ch_coordinate_geometry,Coordinate Geometry,c_area_of_triangle,Area of a Triangle in Coordinates,Theory Note: Area of a Triangle in Coordinates,syllabus_textbook_grounded,"Area of a Triangle in Coordinates belongs to the NCERT Class X chapter Coordinate Geometry. The official syllabus expects students to use coordinate-based area reasoning in triangle problems. In the NCERT textbook, this aligns with Distance Formula, Section Formula. Review of graphs of linear equations, distance formula, and internal section formula. Core concept description: Use coordinate area reasoning to compute triangle area or check collinearity as an applied extension.","Review of graphs of linear equations, distance formula, and internal section formula.",Distance Formula|Section Formula,ch_coordinate_geometry::7.2|ch_coordinate_geometry::7.3,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf
curriculum_note::c_distance_formula,CBSE_10,ch_coordinate_geometry,Coordinate Geometry,c_distance_formula,Distance Formula,Theory Note: Distance Formula,syllabus_textbook_grounded,"Distance Formula belongs to the NCERT Class X chapter Coordinate Geometry. The official syllabus expects students to apply the distance formula accurately in coordinate problems. In the NCERT textbook, this aligns with Distance Formula. Review of graphs of linear equations, distance formula, and internal section formula. Core concept description: Compute the distance between two points in the Cartesian plane using the standard formula.","Review of graphs of linear equations, distance formula, and internal section formula.",Distance Formula,ch_coordinate_geometry::7.2,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf
curriculum_note::c_section_formula,CBSE_10,ch_coordinate_geometry,Coordinate Geometry,c_section_formula,Section Formula,Theory Note: Section Formula,syllabus_textbook_grounded,"Section Formula belongs to the NCERT Class X chapter Coordinate Geometry. The official syllabus expects students to use weighted averages to locate an internal division point. In the NCERT textbook, this aligns with Section Formula. Review of graphs of linear equations, distance formula, and internal section formula. Core concept description: Find the point that divides a line segment internally in a given ratio.","Review of graphs of linear equations, distance formula, and internal section formula.",Section Formula,ch_coordinate_geometry::7.3,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf
